id,input_text,generated_fopl,status,timestamp
220,"Not all methods of transportation are land-based, air-based, or water-based.",∀x ¬(LandBased(x) ∨ (AirBased(x) ∨ WaterBased(x))),success,2025-12-15T14:25:24.928105+00:00
221,An island is surrounded by water and is not connected to any mainland.,"(Island(x) → ∀y (SurroundedBy(x,Water) ∧ ¬ConnectedTo(x,y)))",success,2025-12-15T14:25:28.410463+00:00
222,Books are written by authors and published by publishers.,"∀x (Book(x) ∧ (Writes(y,x) ∧ Publishes(Publisher(y),x)))",success,2025-12-15T14:25:31.994196+00:00
223,"Artwork in a museum is valuable if it is created by a famous artist, has historical significance, or is a rare piece.","∀x ((((CreatedBy(x,y) ∧ FamousArtist(y)) ∨ HistoricalSignificance(x)) ∨ RarePiece(x)) → Valuable(x))",success,2025-12-15T14:25:36.500259+00:00
224,A building is residential if it is primarily used for housing people.,∀x (PrimarilyUsedForHousing(x) → Residential(x)),success,2025-12-15T14:25:39.264590+00:00
225,A device needs charging if its battery level is low.,∀d (BatteryLevelLow(d) → NeedsCharging(d)),success,2025-12-15T14:25:42.336241+00:00
226,"To be a valuable investment, an asset must appreciate over time, generate income, and offer diversification benefits.",∀x (ValuableInvestment(x) → ((AppreciatesOverTime(x) ∧ GeneratesIncome(x)) ∧ OffersDiversificationBenefits(x))),success,2025-12-15T14:25:46.534809+00:00
227,An employee who works overtime without pay is being exploited.,∀x ((WorksOvertime(x) ∧ WithoutPay(x)) → BeingExploited(x)),success,2025-12-15T14:25:49.811602+00:00
228,A smartphone supports wireless charging when it is equipped with a compatible charging receiver and not in a metal case.,"∀x (((CompatibleChargingReceiver(y) ∧ EquippedWith(x,y)) ∧ ¬MetalCase(z)) → SupportsWirelessCharging(x))",success,2025-12-15T14:25:54.934391+00:00
229,"An apple is a fruit and grows on a tree, while a carrot is a vegetable and grows underground.","((Is(apple,fruit) ∧ GrowsOn(apple,tree)) ∧ (Is(carrot,vegetable) ∧ GrowsOn(carrot,underground)))",success,2025-12-15T14:26:00.153544+00:00
230,"If a person creates, designs, and tests new products, they are considered a product designer.",∀x (((Creates(x) ∧ Designs(x)) ∧ Tests(x)) → Person(x)),success,2025-12-15T14:26:03.975393+00:00
231,"A wetland that serves as a habitat for various bird species, filters pollutants from water, and absorbs excess floodwater contributes to ecosystem stability.","∀x ((((HabitatFor(x,y) ∧ BirdSpecies(y)) ∧ FiltersPollutants(x)) ∧ AbsorbsFloodwater(x)) → ContributesTo(x,EcosystemStability))",success,2025-12-15T14:26:09.165998+00:00
232,"A volcano eruption can lead to the release of ash, gas, and molten rock, causing potential hazards and disruptions.","∀x (VolcanoEruption(x) → ((((Releases(x,Ash) ∧ Releases(x,Gas)) ∧ Releases(x,MoltenRock)) ∧ Causes(x,PotentialHazards)) ∧ Causes(x,Disruptions)))",success,2025-12-15T14:26:14.185537+00:00
233,"Living organisms reproduce either sexually, involving two parents, or asexually, involving only one parent.","∀x (LivingOrganism(x) → ((ReproducesSexually(x) ∧ ∃y Parent(x,y)) ∨ (ReproducesAsexually(x) ∧ ¬∃y Parent(x,y))))",success,2025-12-15T14:26:18.382141+00:00
234,"An innovative product meets customer needs, has a unique design, and utilizes advanced technology.",(InnovativeProduct(x) → ((MeetsCustomerNeeds(x) ∧ HasUniqueDesign(x)) ∧ UtilizesAdvancedTechnology(x))),success,2025-12-15T14:26:21.658005+00:00
235,"An aquatic animal that can breathe through gills, has fins, and is covered in scales is a fish.",∀x ((((AquaticAnimal(x) ∧ CanBreatheThroughGills(x)) ∧ HasFins(x)) ∧ CoveredInScales(x)) → Fish(x)),success,2025-12-15T14:26:25.652458+00:00
236,A person is a dentist if they are trained and licensed to diagnose and treat issues related to teeth and oral health.,∀x (((Trained(x) ∧ Licensed(x)) → (((Diagnose(x) ∧ Treat(x)) ∧ Teeth(x)) ∧ OralHealth(x))) → Dentist(x)),success,2025-12-15T14:26:30.773654+00:00
237,"A student excels in an academic subject when they possess a strong understanding of the material, demonstrate effective study habits, and consistently perform well on exams.","∀x (((StrongUnderstanding(x,y) ∧ EffectiveStudyHabits(x)) ∧ PerformWellOnExams(x)) → Excels(x,y))",success,2025-12-15T14:26:36.199221+00:00
238,A gemstone is valuable and can be cut into different shapes.,(Gemstone(x) ∧ (Valuable(x) ∧ CanBeCut(x))),success,2025-12-15T14:26:38.555202+00:00
239,A garden contains plants and is maintained by a gardener.,"(((Contains(g,p) ∧ Plant(p)) ∧ MaintainedBy(g,r)) ∧ Gardener(r))",success,2025-12-15T14:26:42.257489+00:00
240,"A car is fuel-efficient if it has low fuel consumption, reduced emissions, and optimal engine performance.",∀x (((LowFuelConsumption(x) ∧ ReducedEmissions(x)) ∧ OptimalEnginePerformance(x)) → FuelEfficient(x)),success,2025-12-15T14:26:46.747969+00:00
241,"A party is successful if it has entertaining activities, delicious food, or a diverse guest list.",∀x (((EntertainingActivities(x) ∨ DeliciousFood(x)) ∨ DiverseGuestList(x)) → Successful(x)),success,2025-12-15T14:26:50.535862+00:00
242,A shape is either round or has edges.,∀x (Shape(x) → (Round(x) ∨ HasEdges(x))),success,2025-12-15T14:26:53.402877+00:00
243,"In a democracy, citizens have the right to vote and freedom of speech.",∀x (Citizen(x) → (RightToVote(x) ∧ FreedomOfSpeech(x))),success,2025-12-15T14:26:56.372076+00:00
244,"A library contains a collection of books, journals, and digital resources, organized by subject, author, or publication date.","(Library(x) → ((Collection(y) ∧ ((Book(z) ∨ Journal(z)) ∨ DigitalResource(z))) ∧ ((OrganizedBy(y,subject) ∨ OrganizedBy(y,author)) ∨ OrganizedBy(y,publication_date))))",success,2025-12-15T14:27:05.589284+00:00
245,"The greenhouse effect occurs when certain gases in Earth's atmosphere trap heat, leading to a warming of the planet's surface.",∀x ∀y (((Gas(y) ∧ InAtmosphere(y)) → TrapHeat(y)) → Warming(z)),success,2025-12-15T14:27:10.095216+00:00
246,A type of food can be either a fruit or a vegetable.,∀x (Food(x) → (Fruit(x) ∨ Vegetable(x))),success,2025-12-15T14:27:13.165712+00:00
247,"A tropical rainforest receives high rainfall, has high humidity, and is characterized by a dense canopy and diverse plant and animal species.",(TropicalRainforest(x) → ((ReceivesHighRainfall(x) ∧ HasHighHumidity(x)) ∧ ((CharacterizedByDenseCanopy(x) ∧ DiversePlantSpecies(x)) ∧ DiverseAnimalSpecies(x)))),success,2025-12-15T14:27:19.003595+00:00
248,"A book consists of pages containing text and images, bound together and protected by a cover.","∃b ∃p (((ContainsText(p,t) ∧ ContainsImage(p,i)) ∧ BoundTogether(b,p)) ∧ ProtectedByCover(b))",success,2025-12-15T14:27:26.785464+00:00
249,"A surface that reflects light, but does not transmit or absorb it, is a mirror.",∀x (((ReflectsLight(x) ∧ ¬Transmits(x)) ∧ ¬Absorbs(x)) → Mirror(x)),success,2025-12-15T14:27:31.026638+00:00
250,"A restaurant is awarded a Michelin star if it demonstrates exceptional culinary skill, uses high-quality ingredients, and offers outstanding customer service.",∀x (((DemonstratesExceptionalCulinarySkill(x) ∧ UsesHighQualityIngredients(x)) ∧ OffersOutstandingCustomerService(x)) → AwardedMichelinStar(x)),success,2025-12-15T14:27:35.479233+00:00
251,"Fruits that are rich in vitamin C, such as oranges and lemons, can help strengthen the immune system.","∀x ((Fruit(x) ∧ RichInVitaminC(x)) → CanHelpStrengthen(x,ImmuneSystem))",success,2025-12-15T14:27:38.695536+00:00
252,"A refrigerator keeps food cold, has a door, and runs on electricity, while a gas stove cooks food, has burners, and runs on gas.","((((KeepsCold(x,y) ∧ HasDoor(x)) ∧ RunsOnElectricity(x)) ∧ GasStove(x)) ∧ ((CooksFood(x,y) ∧ HasBurners(x)) ∧ RunsOnGas(x)))",success,2025-12-15T14:27:44.624533+00:00
253,Some games are neither single-player nor multiplayer.,∃x (Game(x) ∧ (¬SinglePlayer(x) ∧ ¬Multiplayer(x))),success,2025-12-15T14:27:48.416088+00:00
254,"A film is a box-office hit if it has a high production budget, an all-star cast, or generates significant revenue within the first few weeks of release.",∀f (((HighProductionBudget(f) ∨ AllStarCast(f)) ∨ GeneratesSignificantRevenue(f)) → BoxOfficeHit(f)),success,2025-12-15T14:27:57.743771+00:00
255,"A houseplant needs water and sunlight, can have various types such as succulents, ferns, or flowering plants, and may require specific care instructions depending on the species.","∀x (((NeedsWater(x) ∧ NeedsSunlight(x)) → (HasType(x,y) ∧ (TypeSucculent(y) ∨ (TypeFern(y) ∨ TypeFloweringPlant(y))))) ∧ ((HasType(x,y) ∧ (TypeSucculent(y) ∨ (TypeFern(y) ∨ TypeFloweringPlant(y)))) → RequiresCareInstructions(x,z)))",success,2025-12-15T14:28:05.083680+00:00
256,"If two countries share a border, they are neighboring countries.","∀y ∀x (SharesBorder(x,y) → NeighboringCountry(x,y))",success,2025-12-15T14:28:08.463622+00:00
257,"A meal is considered healthy if it contains a balanced proportion of proteins, carbohydrates, and fats.","∀m ((Contains(m,p) ∧ (Contains(m,c) ∧ Contains(m,f))) → BalancedProportion(p,c,f))",success,2025-12-15T14:28:12.354149+00:00
258,"A medicine is effective in treating a disease if it targets the cause and has minimal side effects, but not if it's expired.","(((TargetsCause(m,d) ∧ MinimalSideEffects(m)) → Effective(m,d)) ∧ (Expired(m) → ¬Effective(m,d)))",success,2025-12-15T14:28:17.519829+00:00
259,All cats have whiskers and sharp claws.,∀x (Cat(x) → (HasWhiskers(x) ∧ HasSharpClaws(x))),success,2025-12-15T14:28:21.058732+00:00
260,"Not every music genre is fast-paced; some are slow, and others have a moderate tempo.",(¬∀x (MusicGenre(x) → ¬FastPaced(x)) ∧ ((Slow(y) ∧ MusicGenre(y)) ∨ (ModerateTempo(z) ∧ MusicGenre(z)))),success,2025-12-15T14:28:28.944199+00:00
261,"Butterflies undergo metamorphosis, transforming from caterpillars to their adult form.",∀x ((Butterfly(x) ∧ UndergoesMetamorphosis(x)) ∧ (Caterpillar(y) → AdultForm(x))),success,2025-12-15T14:28:32.275790+00:00
262,"A place is a park if it has green spaces, is open to the public, and offers recreational activities.",∀x (((HasGreenSpaces(x) ∧ OpenToPublic(x)) ∧ OffersRecreationalActivities(x)) → Place(x)),success,2025-12-15T14:28:36.111124+00:00
263,A plant is identified as a succulent if it stores water in its leaves or stems and thrives in arid environments.,((Plant(x) → Succulent(x)) ∧ (Succulent(x) → (StoresWater(x) ∧ ThrivesInAridEnvironments(x)))),success,2025-12-15T14:28:39.866373+00:00
264,"Birds can fly, while fish can swim, and elephants can neither fly nor swim.",∀y ∀x (((Bird(x) → CanFly(x)) ∧ (Fish(y) → CanSwim(y))) ∧ (¬CanFly(z) ∧ ¬CanSwim(z))),success,2025-12-15T14:28:47.273960+00:00
265,"A flower x blooms in season y if the temperature, precipitation, and sunlight conditions are met during that period.","∀y ∀x (((TemperatureConditionsMet(x,y) ∧ PrecipitationConditionsMet(x,y)) ∧ SunlightConditionsMet(x,y)) → Blooms(x,y))",success,2025-12-15T14:28:51.983186+00:00
266,"A circle has no sides, a pentagon has five sides, and a hexagon has six sides.",,no_formula,2025-12-15T14:28:56.825912+00:00
267,"A type of disease that is caused by a malfunction of the immune system, attacks the body's own tissues, and can lead to chronic inflammation is called an autoimmune disease.",∀x ((Disease(x) → ((MalfunctionOfImmuneSystem(x) ∧ AttacksOwnTissues(x)) ∧ CanLeadToChronicInflammation(x))) ∧ (((MalfunctionOfImmuneSystem(x) ∧ AttacksOwnTissues(x)) ∧ CanLeadToChronicInflammation(x)) → AutoimmuneDisease(x))),success,2025-12-15T14:29:01.199209+00:00
268,All squares have four right angles.,∀x (Square(x) → HasFourRightAngles(x)),success,2025-12-15T14:29:03.739294+00:00
269,"In a healthy ecosystem, there exists a balance between predators and prey.","∃x ∃y ((Predator(x) ∧ Prey(y)) ∧ Balance(x,y))",success,2025-12-15T14:29:07.595980+00:00
270,"A piece of art that is created using pigment on a surface, typically canvas or paper, and portrays realistic images is a painting.",∀x (((((Art(x) ∧ CreatedUsingPigment(x)) ∧ OnSurface(x)) ∧ TypicallyCanvasOrPaper(x)) ∧ PortraysRealisticImages(x)) → Painting(x)),success,2025-12-15T14:29:12.750220+00:00
271,"An informative lecture engages the audience, clearly explains concepts, and encourages questions.","∀x (InformativeLecture(x) → ((Engages(x,y) ∧ ClearlyExplains(x,z)) ∧ EncouragesQuestions(x)))",success,2025-12-15T14:29:16.391576+00:00
272,"A region with distinct climatic conditions, characterized by specific vegetation and wildlife, is a biome.",∀x (((DistinctClimaticConditions(x) ∧ SpecificVegetation(x)) ∧ SpecificWildlife(x)) → Biome(x)),success,2025-12-15T14:29:20.143517+00:00
273,Birds that are nocturnal and have excellent night vision are likely to hunt in the dark.,∀x ((Nocturnal(x) ∧ ExcellentNightVision(x)) → LikelyToHuntInTheDark(x)),success,2025-12-15T14:29:23.625620+00:00
274,"A programmer develops software, tests it for bugs, and deploys it to users.","(Programmer(x) → ((Develops(x,y) ∧ Tests(x,y)) ∧ Deploys(x,z)))",success,2025-12-15T14:29:27.927726+00:00
275,"A plant that produces oxygen, absorbs carbon dioxide, and grows in soil is typically considered a tree or a shrub.",∀x (((ProducesOxygen(x) ∧ AbsorbsCarbonDioxide(x)) ∧ GrowsInSoil(x)) → (Tree(x) ∨ Shrub(x))),success,2025-12-15T14:29:32.776224+00:00
276,A student is considered hardworking if they study regularly and complete assignments on time.,∀x ((StudiesRegularly(x) ∧ CompletesAssignmentsOnTime(x)) → Student(x)),success,2025-12-15T14:29:36.118533+00:00
277,A planet orbits a star and is not a satellite of another planet.,"(((Planet(x) ∧ Star(y)) ∧ Orbits(x,y)) ∧ ¬Satellite(x,Planet(x)))",success,2025-12-15T14:29:39.497360+00:00
278,"A comet is composed of ice, dust, and rock, and orbits the sun, leaving a visible tail as it travels through space.","∃c ((((ComposedOf(c,Ice) ∧ ComposedOf(c,Dust)) ∧ ComposedOf(c,Rock)) ∧ Orbits(c,Sun)) ∧ LeavesVisibleTail(c))",success,2025-12-15T14:29:44.622688+00:00
279,"A celestial object is a comet if it orbits the Sun, has a tail, and is composed mostly of ice and dust.","∀x (((Orbits(x,Sun) ∧ HasTail(x)) ∧ ComposedMostlyOf(x,IceAndDust)) → Comet(x))",success,2025-12-15T14:29:48.303627+00:00
280,A game is a board game if it is played on a flat surface with pieces that are moved according to a set of rules.,∀x ((PlayedOnFlatSurface(x) ∧ MovedAccordingToRules(x)) → BoardGame(x)),success,2025-12-15T14:29:51.683529+00:00
281,A compass indicates direction by aligning its needle with the Earth's magnetic field.,"((Compass(c) ∧ Direction(d)) ∧ (Needle(c,n) → EarthMagneticField(e)))",success,2025-12-15T14:29:55.573881+00:00
282,"A car is powered by an engine, has features such as a transmission, wheels, and brakes, and can be used for transportation, commercial purposes, or recreational activities.","∀x ((PoweredBy(x,y) ∧ ((Transmission(y) ∧ Wheels(y)) ∧ Brakes(y))) ∧ ((UsedForTransportation(x) ∨ UsedForCommercialPurposes(x)) ∨ UsedForRecreationalActivities(x)))",success,2025-12-15T14:30:01.922057+00:00
283,"A fruit is either sweet or sour, and it is not a vegetable.",∀x ((Sweet(x) ∨ Sour(x)) ∧ ¬Vegetable(x)),success,2025-12-15T14:30:05.711748+00:00
284,A person is considered a nurse if they provide healthcare services and support to patients under the supervision of a doctor.,"∀x (((ProvidesHealthcareServices(x) ∧ Supports(x,y)) ∧ UnderSupervisionOf(x,z)) → Nurse(x))",success,2025-12-15T14:30:10.729379+00:00
285,A movie is popular when it attracts a large audience.,"∀m ∃a (Attracts(m,a) → LargeAudience(a))",success,2025-12-15T14:30:14.622879+00:00
286,"An award-winning film can have a captivating plot, outstanding performances, or exceptional cinematography.",∀x (AwardWinningFilm(x) → ((CaptivatingPlot(x) ∨ OutstandingPerformances(x)) ∨ ExceptionalCinematography(x))),success,2025-12-15T14:30:18.694490+00:00
287,A celestial body that isn't a star might be a planet or an asteroid.,∃x (¬Star(x) → (Planet(x) ∨ Asteroid(x))),success,2025-12-15T14:30:22.099718+00:00
288,A tree is deemed mature if it has reached its full height and produces seeds or fruits.,(Tree(x) → (FullHeight(x) ∧ ProducesSeedsOrFruits(x))),success,2025-12-15T14:30:25.168719+00:00
289,"A fabric is suitable for outdoor use if it is UV-resistant, water-resistant, and durable.",∀x (((UVResistant(x) ∧ WaterResistant(x)) ∧ Durable(x)) → SuitableForOutdoorUse(x)),success,2025-12-15T14:30:29.265264+00:00
290,A room with a window is brighter than a room without a window.,"∀x ((RoomWithWindow(x) ∧ RoomWithoutWindow(y)) → BrighterThan(x,y))",success,2025-12-15T14:30:32.336511+00:00
291,A valid passport and a visa are required to enter a country if it has strict immigration policies.,"∀x ((ValidPassport(x) ∧ Visa(y)) ∧ (StrictImmigrationPolicies(Country(x)) → Enter(x,y)))",success,2025-12-15T14:30:37.018526+00:00
292,"A tourist attraction draws visitors due to its historical significance, natural beauty, or cultural importance.","∃y ∀x (((HistoricalSignificance(x) ∨ NaturalBeauty(x)) ∨ CulturalImportance(x)) → Draws(x,y))",success,2025-12-15T14:30:41.962645+00:00
293,"A library is a place where books, magazines, and other media are stored, organized, and made available for borrowing or reference.",∀x (Library(x) → ((Books(y) ∨ (Magazines(y) ∨ OtherMedia(y))) → ((Stored(y) ∧ Organized(y)) ∧ Available(y)))),success,2025-12-15T14:30:47.492419+00:00
294,"Baking requires an oven, blending requires a blender, and boiling requires a stove.","((Baking(x) ∧ Blending(x)) ∧ ((Requires(x,Oven) ∧ Requires(x,Blender)) ∧ Requires(x,Stove)))",success,2025-12-15T14:30:51.484709+00:00
295,A type of footwear with a flat sole and a flexible upper part that covers the toes is a sandal.,∀x (((FlatSole(x) ∧ FlexibleUpper(x)) ∧ CoversToes(x)) → Footwear(x)),success,2025-12-15T14:30:55.171486+00:00
296,"Washing hands frequently prevents the spread of germs, while touching the face increases the risk of infection.",((WashesHandsFrequently(x) → PreventsSpreadOfGerms(x)) ∧ (TouchesFace(y) → IncreasesRiskOfInfection(y))),success,2025-12-15T14:30:59.575869+00:00
297,A submarine can navigate underwater by adjusting its buoyancy using ballast tanks.,(Submarine(x) → ((CanNavigateUnderwater(x) ∧ AdjustsBuoyancy(x)) ∧ UsingBallastTanks(x))),success,2025-12-15T14:31:03.260780+00:00
298,A student can pass or fail a test.,"((Student(x) ∧ Test(y)) ∧ (Pass(x,y) ∨ Fail(x,y)))",success,2025-12-15T14:31:07.458486+00:00
299,A flower's color can either attract pollinators or deter potential predators.,∀x (Flower(x) → (AttractsPollinators(x) ∨ DetersPredators(x))),success,2025-12-15T14:31:10.736825+00:00
300,A dog is a domesticated animal that barks and has a wagging tail.,((Dog(x) ∧ DomesticatedAnimal(x)) ∧ (Barks(x) ∧ HasWaggingTail(x))),success,2025-12-15T14:31:14.422728+00:00
301,"A hammer is for pounding nails, and a saw is for cutting wood.","(ForPounding(Hammer,Nail) ∧ ForCutting(Saw,Wood))",success,2025-12-15T14:31:20.464076+00:00
302,A person is a pilot if they are trained and certified to operate and navigate aircraft.,"∀x ((((Trained(x) ∧ Certified(x)) ∧ Operate(x,y)) ∧ Navigate(x,y)) → Pilot(x))",success,2025-12-15T14:31:26.710051+00:00
303,"A city that has an efficient public transportation system, ample green spaces, and a low crime rate is considered livable.",(City(x) → ((EfficientPublicTransportation(x) ∧ AmpleGreenSpaces(x)) ∧ LowCrimeRate(x))),success,2025-12-15T14:31:31.011378+00:00
304,A material is a metal if it is a good conductor of heat and electricity and has a characteristic lustrous appearance.,∀x ((GoodConductor(x) ∧ HasLustrousAppearance(x)) → Metal(x)),success,2025-12-15T14:31:34.902806+00:00
305,"A smartphone needs to be charged when its battery level is low, or it will not function properly.",∀s ∃b ((LowBattery(b) → NeedsCharging(s)) ∨ ¬FunctionProperly(s)),success,2025-12-15T14:31:38.788781+00:00
306,"A solar panel converts sunlight into electricity, making it a renewable and environmentally friendly energy source.","∀x (Converts(x,Sunlight,Electricity) → (Renewable(x) ∧ EnvironmentallyFriendly(x)))",success,2025-12-15T14:31:42.172526+00:00
307,"A parent can have multiple children, and a child can have multiple siblings.","(∃c HasChild(p,c) ∧ ∃s HasSibling(c,s))",success,2025-12-15T14:31:46.883952+00:00
308,There are substances that are neither acidic nor basic.,∃x (¬Acidic(x) ∧ ¬Basic(x)),success,2025-12-15T14:31:51.187209+00:00
309,Musical instruments like the piano or violin produce sound through the vibration of strings.,∀x (MusicalInstrument(x) → (ProducesSound(x) ∧ VibrationOfStrings(x))),success,2025-12-15T14:31:54.767235+00:00
310,"If a musical instrument is a string instrument, then it produces sound through vibrating strings.",∀x (MusicalInstrument(x) → ((StringInstrument(x) → ProducesSound(x)) → VibratingStrings(x))),success,2025-12-15T14:31:58.559214+00:00
311,Sneezing spreads germs in the air.,"(Sneezing(x) → (Spreads(x,Germs) ∧ InAir(Germs)))",success,2025-12-15T14:32:01.629708+00:00
312,"A theater hosts plays, concerts, or movie screenings, with actors or musicians performing.",∃x ∃y ((Theater(x) ∧ ((Play(y) ∨ Concert(y)) ∨ MovieScreening(y))) ∧ (Actor(z) ∨ Musician(z))),success,2025-12-15T14:32:07.979120+00:00
313,Instruments that produce sound by vibration are called musical instruments.,(ProducesSoundByVibration(x) → MusicalInstrument(x)),success,2025-12-15T14:32:10.539369+00:00
314,"A transportation method that travels on a fixed route, operates on a schedule, and carries multiple passengers is a bus or a train.",∀x ((TransportationMethod(x) → ((TravelsOnFixedRoute(x) ∧ OperatesOnSchedule(x)) ∧ CarriesMultiplePassengers(x))) ∧ (((TravelsOnFixedRoute(x) ∧ OperatesOnSchedule(x)) ∧ CarriesMultiplePassengers(x)) → (Bus(x) ∨ Train(x)))),success,2025-12-15T14:32:16.170377+00:00
315,"A movie is a thriller if it has suspense, excitement, and a surprise ending.",∀x (((HasSuspense(x) ∧ HasExcitement(x)) ∧ HasSurpriseEnding(x)) → Thriller(x)),success,2025-12-15T14:32:20.011901+00:00
316,"A shopping mall houses various types of stores, such as clothing, electronics, and grocery, while also providing entertainment options like movie theaters and arcades.","∀x ∃y ∃z (((ClothingStore(y) ∨ (ElectronicsStore(y) ∨ GroceryStore(y))) ∧ Houses(x,y)) ∧ ((MovieTheater(z) ∨ Arcade(z)) ∧ Provides(x,z)))",success,2025-12-15T14:32:28.766013+00:00
317,"Fish swim, birds fly, and horses run.",(((Fish(x) ∧ Swim(x)) ∧ (Bird(y) ∧ Fly(y))) ∧ (Horse(z) ∧ Run(z))),success,2025-12-15T14:32:34.606864+00:00
318,"If a person is a counselor, they provide guidance and support.",∀x (Counselor(x) → (ProvidesGuidance(x) ∧ ProvidesSupport(x))),success,2025-12-15T14:32:37.980920+00:00
319,A film that combines captivating visuals and an emotionally engaging storyline can achieve critical acclaim.,"∀x ((Combines(x,CaptivatingVisuals) ∧ EngagingStoryline(x)) → Achieves(x,CriticalAcclaim))",success,2025-12-15T14:32:41.771079+00:00
320,"An appliance can be small or large, designed for the kitchen or laundry room, and powered by electricity, gas, or batteries.",∃x ((Small(x) ∨ Large(x)) ∧ ((DesignedForKitchen(x) ∨ DesignedForLaundryRoom(x)) ∧ (PoweredByElectricity(x) ∨ (PoweredByGas(x) ∨ PoweredByBatteries(x))))),success,2025-12-15T14:32:48.323922+00:00
321,"If a person is a meteorologist, they study weather patterns and phenomena.","∀x (Meteorologist(x) → (Study(x,WeatherPatterns) ∧ Study(x,Phenomena)))",success,2025-12-15T14:32:52.010200+00:00
322,A keyboard is used to input text.,(UsedToInput(Keyboard) → Input(Text)),success,2025-12-15T14:32:54.366734+00:00
323,"A watch uses gears to keep time, while a digital clock uses a crystal oscillator.",((UsesGears(x) ∧ KeepsTime(x)) ∧ (DigitalClock(y) ∧ UsesCrystalOscillator(y))),success,2025-12-15T14:32:59.589807+00:00
324,"A beverage is classified as a cocktail if it contains alcohol, is a mixture of different ingredients, and is typically served at social events or in bars.","∀x (Beverage(x) → ((Contains(x,Alcohol) ∧ Mixture(x)) ∧ (ServedAt(x,SocialEvents) ∨ ServedAt(x,Bars))))",success,2025-12-15T14:33:05.221636+00:00
325,"If a person catches a cold, they might have a fever or a runny nose.",∀x (CatchesCold(x) → (HasFever(x) ∨ HasRunnyNose(x))),success,2025-12-15T14:33:08.599205+00:00
326,A type of clothing can be either formal or casual.,∀x (ClothingType(x) → (Formal(x) ∨ Casual(x))),success,2025-12-15T14:33:12.489946+00:00
327,"A fashion choice is stylish if it is trendy, comfortable, and either colorful or has interesting patterns.",∀x (((Trendy(x) ∧ Comfortable(x)) ∧ (Colorful(x) ∨ HasInterestingPatterns(x))) → Stylish(x)),success,2025-12-15T14:33:18.123020+00:00
328,"A book contains pages with text and illustrations that convey information, stories, or ideas.","(Book(b) ∧ (Contains(b,p) ∧ (Text(p,t) ∧ Illustration(p,i))))",success,2025-12-15T14:33:24.574153+00:00
329,"An energy-efficient building uses renewable energy sources and sustainable materials, reducing its environmental impact.",∀x ((EnergyEfficientBuilding(x) → (UsesRenewableEnergySources(x) ∧ UsesSustainableMaterials(x))) ∧ ((UsesRenewableEnergySources(x) ∧ UsesSustainableMaterials(x)) → ReducesEnvironmentalImpact(x))),success,2025-12-15T14:33:29.283535+00:00
330,"A carnivore is an organism that primarily feeds on other animals, an herbivore is an organism that primarily feeds on plants, and an omnivore is an organism that feeds on both animals and plants.",∀x (((Carnivore(x) → FeedsOnAnimals(x)) ∧ (Herbivore(y) → FeedsOnPlants(y))) ∧ (Omnivore(z) → (FeedsOnAnimals(x) ∧ FeedsOnPlants(y)))),success,2025-12-15T14:33:37.809842+00:00
331,A dessert is delicious if it has a pleasant taste and an appealing texture.,∀d ((PleasantTaste(d) ∧ AppealingTexture(d)) → Delicious(d)),success,2025-12-15T14:33:41.571110+00:00
332,"A fish swims in water, while a bird flies in the air.",((Fish(x) ∧ Swims(x)) ∧ (Bird(x) ∧ Flies(x))),success,2025-12-15T14:33:45.668387+00:00
333,"A circle has no corners, a triangle has three corners, and a square has four corners.",,no_formula,2025-12-15T14:33:51.695087+00:00
334,Healthy teeth require regular brushing and flossing.,"∀x (HealthyTeeth(x) → (Require(x,RegularBrushing) ∧ Require(x,Flossing)))",success,2025-12-15T14:33:54.884879+00:00
335,"A medication that effectively treats symptoms, has minimal side effects, and can be administered easily is often preferred by healthcare professionals.",∀x (((EffectivelyTreatsSymptoms(x) ∧ HasMinimalSideEffects(x)) ∧ CanBeAdministeredEasily(x)) → PreferredByHealthcareProfessionals(x)),success,2025-12-15T14:33:59.799850+00:00
336,"Dogs bark, babies cry, and sirens wail.",(((Dog(x) ∧ Bark(x)) ∧ (Baby(y) ∧ Cry(y))) ∧ (Siren(z) ∧ Wail(z))),success,2025-12-15T14:34:05.227202+00:00
337,"In a democratic country, citizens have the right to vote and the right to express their opinions freely.",∀x ∀y (Citizen(y) → (RightToVote(y) ∧ RightToExpressOpinions(y))),success,2025-12-15T14:34:10.347498+00:00
338,"A product becomes a bestseller if it has innovative features, reasonable pricing, and effective marketing, but not if it has manufacturing defects or poor customer support.",∀x ((((InnovativeFeatures(x) ∧ ReasonablePricing(x)) ∧ EffectiveMarketing(x)) → Bestseller(x)) ∨ ((¬ManufacturingDefects(x) ∧ ¬PoorCustomerSupport(x)) → Bestseller(x))),success,2025-12-15T14:34:17.553755+00:00
339,"A celestial object that orbits a star, reflects light, and is not a satellite is a planet.","∀x (((Orbits(x,star) ∧ ReflectsLight(x)) ∧ ¬Satellite(x)) → Planet(x))",success,2025-12-15T14:34:21.509076+00:00
340,"An island is volcanic if it was formed by volcanic activity, has a volcanic cone, and shows signs of geothermal activity.",∀x (((FormedByVolcanicActivity(x) ∧ HasVolcanicCone(x)) ∧ ShowsSignsOfGeothermalActivity(x)) → Island(x)),success,2025-12-15T14:34:26.116505+00:00
341,"Factories manufacture goods from raw materials, employing workers to operate machinery.","∀f (Manufacture(f,g,r) ∧ Employ(f,w,m))",success,2025-12-15T14:34:31.237782+00:00
