id,nl,fopl_input,fopl_output,status,timestamp
267,"A type of disease that is caused by a malfunction of the immune system, attacks the body's own tissues, and can lead to chronic inflammation is called an autoimmune disease.",∀x (DiseaseType(x) ∧ CausedByImmuneSystemMalfunction(x) ∧ AttacksOwnTissues(x) ∧ CanLeadToChronicInflammation(x) → AutoimmuneDisease(x)),∀x (DiseaseType(x) ∧ CausedByImmuneSystemMalfunction(x) ∧ AttacksOwnTissues(x) ∧ CanLeadToChronicInflammation(x) ∨ AutoimmuneDisease(x)),success,2026-03-26T04:51:40.479518+00:00
268,All squares have four right angles.,∀x (Square(x) → HasFourRightAngles(x)),∀x1 (Square(x1) → HasFourRightAngles(x1)),success,2026-03-26T04:51:41.121706+00:00
269,"In a healthy ecosystem, there exists a balance between predators and prey.","∀x (HealthyEcosystem(x) → ∃y ∃z (Predator(y) ∧ Prey(z) ∧ BalancedRelationship(x, y, z)))","∀x (HealthyEcosystem(x) → ∃x1 ∃x2 (Predator(x1) ∧ Prey(x2) ∧ BalancedRelationship(x, x1, x2)))",success,2026-03-26T04:51:41.989056+00:00
270,"A piece of art that is created using pigment on a surface, typically canvas or paper, and portrays realistic images is a painting.",∀x (Art(x) ∧ CreatedUsingPigment(x) ∧ (Canvas(x) ∨ Paper(x)) ∧ PortraysRealisticImages(x) → Painting(x)),∀x (Art(x) ∧ CreatedUsingPigment(x) ∧ (Canvas(x) ∨ Paper(x)) ∧ PortraysRealisticImages(x) → Painting(x)),success,2026-03-26T04:51:42.747351+00:00
271,"An informative lecture engages the audience, clearly explains concepts, and encourages questions.",∀x (Lecture(x) ∧ Informative(x) → (EngagesAudience(x) ∧ ClearlyExplainsConcepts(x) ∧ EncouragesQuestions(x))),∀x (¬Lecture(x) ∨ ¬Informative(x) ∨ (EngagesAudience(x) ∧ ClearlyExplainsConcepts(x) ∧ EncouragesQuestions(x))),success,2026-03-26T04:51:43.611645+00:00
272,"A region with distinct climatic conditions, characterized by specific vegetation and wildlife, is a biome.",∀x (Region(x) ∧ DistinctClimaticConditions(x) ∧ CharacterizedBySpecificVegetation(x) ∧ CharacterizedBySpecificWildlife(x) → Biome(x)),∃x ¬(Region(x) ∧ DistinctClimaticConditions(x) ∧ CharacterizedBySpecificVegetation(x) ∧ CharacterizedBySpecificWildlife(x) ∧ ¬Biome(x)),success,2026-03-26T04:51:44.321985+00:00
273,Birds that are nocturnal and have excellent night vision are likely to hunt in the dark.,∀x (Bird(x) ∧ Nocturnal(x) ∧ ExcellentNightVision(x) → HuntInTheDark(x)),∀x (Bird(x) ∧ Nocturnal(x) ∧ ExcellentNightVision(x) → HuntInTheDark(x)),success,2026-03-26T04:51:45.015065+00:00
274,"A programmer develops software, tests it for bugs, and deploys it to users.","∀x ∀y (Programmer(x) ∧ Software(y) ∧ Develops(x, y) ∧ TestsForBugs(x, y) → DeploysToUsers(x, y))","∀x1 ∀x2 (Programmer(x1) ∧ Software(x2) ∧ Develops(x1, x2) ∧ TestsForBugs(x1, x2) → DeploysToUsers(x1, x2))",success,2026-03-26T04:51:45.857655+00:00
275,"A plant that produces oxygen, absorbs carbon dioxide, and grows in soil is typically considered a tree or a shrub.",∀x (Plant(x) ∧ ProducesOxygen(x) ∧ AbsorbsCarbonDioxide(x) ∧ GrowsInSoil(x) → (Tree(x) ∨ Shrub(x))),∀x (Plant(x) ∧ ProducesOxygen(x) ∧ AbsorbsCarbonDioxide(x) ∧ GrowsInSoil(x) → (Tree(x) ∨ Shrub(x))),success,2026-03-26T04:51:46.604480+00:00
276,A student is considered hardworking if they study regularly and complete assignments on time.,∀x (Student(x) ∧ StudiesRegularly(x) ∧ CompletesAssignmentsOnTime(x) → Hardworking(x)),∀x1 (Student(x1) ∧ StudiesRegularly(x1) ∧ CompletesAssignmentsOnTime(x1) → Hardworking(x1)),success,2026-03-26T04:51:47.362658+00:00
277,A planet orbits a star and is not a satellite of another planet.,"∀x ∀y (Planet(x) ∧ Star(y) ∧ Orbits(x, y) ∧ ¬∃z (Planet(z) ∧ Satellite(x, z)) → OrbitsStar(x))","∀x ∀y (Planet(x) ∧ Star(y) ∧ Orbits(x, y) ∧ ¬∃z (Planet(z) ∧ Satellite(x, z)) → ¬OrbitsStar(x))",success,2026-03-26T04:51:48.170427+00:00
278,"A comet is composed of ice, dust, and rock, and orbits the sun, leaving a visible tail as it travels through space.",∀x (Comet(x) → ComposedOfIceDustAndRock(x) ∧ OrbitsSun(x) ∧ LeavesVisibleTail(x)),∀x (Comet(x) → (ComposedOfIceDustAndRock(x) ∧ OrbitsSun(x) ∧ LeavesVisibleTail(x))),success,2026-03-26T04:51:48.879752+00:00
279,"A celestial object is a comet if it orbits the Sun, has a tail, and is composed mostly of ice and dust.",∀x (CelestialObject(x) ∧ OrbitsSun(x) ∧ HasTail(x) ∧ MostlyIceAndDust(x) → Comet(x)),∀x (¬CelestialObject(x) ∨ ¬OrbitsSun(x) ∨ ¬HasTail(x) ∨ ¬MostlyIceAndDust(x) ∨ Comet(x)),success,2026-03-26T04:51:49.618476+00:00
280,A game is a board game if it is played on a flat surface with pieces that are moved according to a set of rules.,∀x (Game(x) ∧ FlatSurface(x) ∧ Pieces(x) ∧ Rules(x) → BoardGame(x)),∀x (Game(x) ∧ FlatSurface(x) ∧ Pieces(x) ∧ Rules(x) → BoardGame(x)),success,2026-03-26T04:51:50.624442+00:00
281,A compass indicates direction by aligning its needle with the Earth's magnetic field.,∀x (Compass(x) → AlignsWithEarthsMagneticField(x)),∀x1 (Compass(x1) → AlignsWithEarthsMagneticField(x1)),success,2026-03-26T04:51:51.312258+00:00
282,"A car is powered by an engine, has features such as a transmission, wheels, and brakes, and can be used for transportation, commercial purposes, or recreational activities.",∀x (Car(x) → (PoweredByEngine(x) ∧ (Transmission(x) ∧ Wheels(x) ∧ Brakes(x)) ∧ (TransportationUsage(x) ∨ CommercialUsage(x) ∨ RecreationalActivitiesUsage(x)))),∀x (Car(x) → (PoweredByEngine(x) ∧ (Transmission(x) ∧ Wheels(x) ∧ Brakes(x)) ∧ (TransportationUsage(x) ∨ CommercialUsage(x) ∨ RecreationalActivitiesUsage(x)))),success,2026-03-26T04:51:52.127967+00:00
283,"A fruit is either sweet or sour, and it is not a vegetable.",∀x (Fruit(x) → (Sweet(x) ⊕ Sour(x)) ∧ ¬Vegetable(x)),∀x (Fruit(x) → (Sweet(x) ⊕ Sour(x)) ∧ ¬Vegetable(x)),success,2026-03-26T04:51:52.865318+00:00
284,A person is considered a nurse if they provide healthcare services and support to patients under the supervision of a doctor.,"∀x ∃y (Person(x) ∧ ProvidesHealthcareServices(x) ∧ SupportsPatients(x) ∧ SupervisedByDoctor(x, y) ∧ Doctor(y) → Nurse(x))","∀x ∃y (Person(x) ∧ ProvidesHealthcareServices(x) ∧ SupportsPatients(x) ∧ SupervisedByDoctor(x, y) ∧ Doctor(y) → Nurse(x))",success,2026-03-26T04:51:53.584288+00:00
285,A movie is popular when it attracts a large audience.,∀x (Movie(x) ∧ LargeAudience(x) → Popular(x)),∀x1 (Movie(x1) ∧ LargeAudience(x1) → Popular(x1)),success,2026-03-26T04:51:54.237285+00:00
286,"An award-winning film can have a captivating plot, outstanding performances, or exceptional cinematography.",∀x (Film(x) ∧ AwardWinning(x) → (CaptivatingPlot(x) ∨ OutstandingPerformances(x) ∨ ExceptionalCinematography(x))),∀x (Film(x) ∧ AwardWinning(x) → (¬CaptivatingPlot(x) ∨ OutstandingPerformances(x) ∨ ExceptionalCinematography(x))),success,2026-03-26T04:51:55.018070+00:00
287,A celestial body that isn't a star might be a planet or an asteroid.,∀x (CelestialBody(x) ∧ ¬Star(x) → (Planet(x) ∨ Asteroid(x))),∀x1 (CelestialBody(x1) ∧ ¬Star(x1) → (Planet(x1) ∨ Asteroid(x1))),success,2026-03-26T04:51:55.735691+00:00
288,A tree is deemed mature if it has reached its full height and produces seeds or fruits.,∀x (Tree(x) ∧ FullHeight(x) ∧ (ProducesSeeds(x) ∨ ProducesFruits(x)) → Mature(x)),∀x (Tree(x) ∧ FullHeight(x) ∧ (ProducesSeeds(x) ∨ ProducesFruits(x)) → Mature(x)),success,2026-03-26T04:51:56.522987+00:00
289,"A fabric is suitable for outdoor use if it is UV-resistant, water-resistant, and durable.","∀x (SuitableForOutdoorUse(x) ↔ (Fabric(x) ∧ ∃y (UVResistant(y) ∧ Has(x, y)) ∧ ∃z (WaterResistant(z) ∧ Has(x, z)) ∧ ∃w (Durable(w) ∧ Is(x, w))))","∀x (SuitableForOutdoorUse(x) ↔ (Fabric(x) ∧ ∃y (UVResistant(y) ∧ Has(x, y)) ∧ ∃z (WaterResistant(z) ∧ Has(x, z)) ∧ ∃w (Durable(w) ∧ Is(x, w))))",success,2026-03-26T04:51:57.370761+00:00
290,A room with a window is brighter than a room without a window.,"∀x∀y (Room(x) ∧ Room(y) ∧ HasWindow(x) ∧ ¬HasWindow(y) → Brighter(x, y))","∀x∀y (Room(x) ∧ Room(y) ∧ HasWindow(x) ∧ ¬HasWindow(y) → Brighter(x, y))",success,2026-03-26T04:51:58.065531+00:00
291,A valid passport and a visa are required to enter a country if it has strict immigration policies.,∀x (Country(x) ∧ StrictImmigrationPolicies(x) → (ValidPassportRequired(x) ∧ VisaRequired(x))),∃x (Country(x) ∧ StrictImmigrationPolicies(x) → (ValidPassportRequired(x) ∧ VisaRequired(x))),success,2026-03-26T04:51:59.007348+00:00
292,"A tourist attraction draws visitors due to its historical significance, natural beauty, or cultural importance.",∀x (TouristAttraction(x) ∧ (HistoricalSignificance(x) ∨ NaturalBeauty(x) ∨ CulturalImportance(x)) → DrawsVisitors(x)),∀x (TouristAttraction(x) ∧ (HistoricalSignificance(x) ∨ NaturalBeauty(x) ∨ CulturalImportance(x)) → ¬DrawsVisitors(x)),success,2026-03-26T04:51:59.704219+00:00
293,"A library is a place where books, magazines, and other media are stored, organized, and made available for borrowing or reference.",∀x (Library(x) → (Place(x) ∧ StoresMedia(x) ∧ OrganizesMedia(x) ∧ AvailableForBorrowingOrReference(x))),∃x (Library(x) → (Place(x) ∧ StoresMedia(x) ∧ OrganizesMedia(x) ∧ AvailableForBorrowingOrReference(x))),success,2026-03-26T04:52:00.343663+00:00
294,"Baking requires an oven, blending requires a blender, and boiling requires a stove.","Requires(baking, oven) ∧ Requires(blending, blender) ∧ Requires(boiling, stove)","Requires(baking, oven) ∨ Requires(blending, blender) ∨ Requires(boiling, stove)",success,2026-03-26T04:52:01.057151+00:00
295,A type of footwear with a flat sole and a flexible upper part that covers the toes is a sandal.,∀x (Footwear(x) ∧ FlatSole(x) ∧ FlexibleUpperPart(x) ∧ CoversToes(x) → Sandal(x)),∀x (Footwear(x) ∧ FlatSole(x) ∧ FlexibleUpperPart(x) ∧ CoversToes(x) → Sandal(x)),success,2026-03-26T04:52:01.776907+00:00
296,"Washing hands frequently prevents the spread of germs, while touching the face increases the risk of infection.",∀x (WashHandsFrequently(x) → PreventSpreadOfGerms(x)) ∧ ∀y (TouchFace(y) → IncreaseRiskOfInfection(y)),∀x (WashHandsFrequently(x) → PreventSpreadOfGerms(x)) ∧ ∀x1 (TouchFace(x1) → IncreaseRiskOfInfection(x1)),success,2026-03-26T04:52:02.699524+00:00
297,A submarine can navigate underwater by adjusting its buoyancy using ballast tanks.,"∀x (Submarine(x) ∧ Buoyancy(b) ∧ BallastTanks(t) → CanNavigateUnderwater(x, b, t))","∀x (Submarine(x) ∧ Buoyancy(b) ∧ BallastTanks(t) → ¬CanNavigateUnderwater(x, b, t))",success,2026-03-26T04:52:03.336702+00:00
298,A student can pass or fail a test.,"∀x ∀y (Student(x) ∧ Test(y) → (Passes(x, y) ⊕ Fails(x, y)))","∀x ∀y (Student(x) ∧ Test(y) → (Passes(x, y) ⊕ Fails(x, y)))",success,2026-03-26T04:52:04.028138+00:00
299,A flower's color can either attract pollinators or deter potential predators.,∀x (Flower(x) ∧ HasColor(x) → (AttractsPollinators(x) ∨ DetersPredators(x))),∀x (Flower(x) ∧ HasColor(x) → (DetersPredators(x) ∨ AttractsPollinators(x))),success,2026-03-26T04:52:04.744375+00:00
300,A dog is a domesticated animal that barks and has a wagging tail.,∀x (Dog(x) → (Domesticated(x) ∧ Barks(x) ∧ HasWaggingTail(x))),∀x1 (Dog(x1) → (Domesticated(x1) ∧ Barks(x1) ∧ HasWaggingTail(x1))),success,2026-03-26T04:52:05.397658+00:00
301,"A hammer is for pounding nails, and a saw is for cutting wood.",∀x ∀y (Hammer(x) ∧ Saw(y) → (ForPoundingNails(x) ∧ ForCuttingWood(y))),∀x ∀y (¬Hammer(x) ∨ ¬Saw(y) ∨ (ForPoundingNails(x) ∧ ForCuttingWood(y))),success,2026-03-26T04:52:06.081394+00:00
302,A person is a pilot if they are trained and certified to operate and navigate aircraft.,∀x (Pilot(x) ↔ (Person(x) ∧ Trained(x) ∧ Certified(x) ∧ OperatesAircraft(x) ∧ NavigatesAircraft(x))),∀x (Pilot(x) ↔ (Person(x) ∧ Trained(x) ∧ Certified(x) ∧ OperatesAircraft(x) ∧ NavigatesAircraft(x))),success,2026-03-26T04:52:06.794042+00:00
303,"A city that has an efficient public transportation system, ample green spaces, and a low crime rate is considered livable.",∀x (City(x) ∧ EfficientPublicTransportationSystem(x) ∧ AmpleGreenSpaces(x) ∧ LowCrimeRate(x) → Livable(x)),∀x (City(x) ∧ EfficientPublicTransportationSystem(x) ∧ AmpleGreenSpaces(x) ∧ LowCrimeRate(x) → Livable(x)),success,2026-03-26T04:52:07.482002+00:00
304,A material is a metal if it is a good conductor of heat and electricity and has a characteristic lustrous appearance.,∀x (Material(x) ∧ GoodConductorOfHeat(x) ∧ GoodConductorOfElectricity(x) ∧ LustrousAppearance(x) → Metal(x)),∀x (Material(x) ∧ GoodConductorOfHeat(x) ∧ GoodConductorOfElectricity(x) ∧ LustrousAppearance(x) → Metal(x)),success,2026-03-26T04:52:08.240633+00:00
305,"A smartphone needs to be charged when its battery level is low, or it will not function properly.",∀x (Smartphone(x) ∧ LowBatteryLevel(x) → NeedsCharging(x)),∀x (Smartphone(x) ∧ LowBatteryLevel(x) → NeedsCharging(x)),success,2026-03-26T04:52:08.945022+00:00
306,"A solar panel converts sunlight into electricity, making it a renewable and environmentally friendly energy source.",∀x (SolarPanel(x) → (ConvertsSunlight(x) ∧ ProducesElectricity(x) ∧ RenewableEnergySource(x) ∧ EnvironmentallyFriendly(x))),∀x (SolarPanel(x) → (ConvertsSunlight(x) ∧ ProducesElectricity(x) ∧ RenewableEnergySource(x) ∧ EnvironmentallyFriendly(x))),success,2026-03-26T04:52:09.763892+00:00
307,"A parent can have multiple children, and a child can have multiple siblings.",∀x∀y (Parent(x) ∧ Child(y) → (CanHaveMultipleChildren(x) ∧ CanHaveMultipleSiblings(y))),∀x∃y (Parent(x) ∧ Child(y) → (CanHaveMultipleChildren(x) ∧ CanHaveMultipleSiblings(y))),success,2026-03-26T04:52:10.474325+00:00
308,There are substances that are neither acidic nor basic.,∃x (Substance(x) ∧ ¬(Acidic(x) ∨ Basic(x))),∃x (Substance(x) ∧ ¬Acidic(x) ∧ ¬Basic(x)),success,2026-03-26T04:52:11.183937+00:00
309,Musical instruments like the piano or violin produce sound through the vibration of strings.,∀x (MusicalInstrument(x) ∧ (Piano(x) ∨ Violin(x)) → ProducesSoundThroughVibration(x)),∀x (MusicalInstrument(x) ∧ (Piano(x) ∨ Violin(x)) → ProducesSoundThroughVibration(x)),success,2026-03-26T04:52:11.836245+00:00
310,"If a musical instrument is a string instrument, then it produces sound through vibrating strings.",∀x (MusicalInstrument(x) ∧ StringInstrument(x) → ProducesSoundThroughVibratingStrings(x)),∀x (MusicalInstrument(x) ∧ StringInstrument(x) → ProducesSoundThroughVibratingStrings(x)),success,2026-03-26T04:52:12.525230+00:00
311,Sneezing spreads germs in the air.,"∀x∀y (Sneezing(x) ∧ Germs(y) → SpreadsInAir(x, y))","∀x∀y (Sneezing(x) ∧ Germs(y) → SpreadsInAir(x, y))",success,2026-03-26T04:52:13.159161+00:00
312,"A theater hosts plays, concerts, or movie screenings, with actors or musicians performing.","∀x∀y∀z (Theater(x) ∧ (Play(y) ∨ Concert(y) ∨ MovieScreening(y)) ∧ (Actor(z) ∨ Musician(z)) → (Hosts(x, y) ∧ Performs(z, y)))","∀x∀y∀z (Theater(x) ∧ (Play(y) ∨ Concert(y) ∨ MovieScreening(y)) ∧ (Actor(z) ∨ Musician(z)) → (Hosts(x, y) ∧ Performs(z, y)))",success,2026-03-26T04:52:14.163032+00:00
313,Instruments that produce sound by vibration are called musical instruments.,∀x (Instrument(x) ∧ ProducesSoundByVibration(x) → MusicalInstrument(x)),∀x1 (Instrument(x1) ∧ ProducesSoundByVibration(x1) → MusicalInstrument(x1)),success,2026-03-26T04:52:14.881483+00:00
314,"A transportation method that travels on a fixed route, operates on a schedule, and carries multiple passengers is a bus or a train.",∀x (TransportationMethod(x) ∧ TravelsFixedRoute(x) ∧ OperatesOnSchedule(x) ∧ CarriesMultiplePassengers(x) → (Bus(x) ∨ Train(x))),∀x (TransportationMethod(x) ∧ TravelsFixedRoute(x) ∧ OperatesOnSchedule(x) ∧ CarriesMultiplePassengers(x) → (Bus(x) ∨ Train(x))),success,2026-03-26T04:52:15.601787+00:00
315,"A movie is a thriller if it has suspense, excitement, and a surprise ending.",∀x (Movie(x) ∧ Suspense(x) ∧ Excitement(x) ∧ SurpriseEnding(x) → Thriller(x)),∀x (¬Movie(x) ∨ ¬Suspense(x) ∨ ¬Excitement(x) ∨ ¬SurpriseEnding(x) ∨ Thriller(x)),success,2026-03-26T04:52:16.325621+00:00
316,"A shopping mall houses various types of stores, such as clothing, electronics, and grocery, while also providing entertainment options like movie theaters and arcades.",∀x (ShoppingMall(x) ∧ (ClothingStores(x) ∨ ElectronicsStores(x) ∨ GroceryStores(x)) → ProvidesEntertainmentOptions(x)),∀x (ShoppingMall(x) ∧ (ClothingStores(x) ∨ ElectronicsStores(x) ∨ GroceryStores(x)) → ProvidesEntertainmentOptions(x)),success,2026-03-26T04:52:17.034479+00:00
317,"Fish swim, birds fly, and horses run.",∀x (Fish(x) → Swim(x)) ∧ ∀y (Bird(y) → Fly(y)) ∧ ∀z (Horse(z) → Run(z)),∀x (Fish(x) → Swim(x)) ∧ ∀y (Bird(y) → Fly(y)) ∧ ∃z (Horse(z) → Run(z)),success,2026-03-26T04:52:17.744800+00:00
318,"If a person is a counselor, they provide guidance and support.",∀x (Counselor(x) → (ProvidesGuidance(x) ∧ ProvidesSupport(x))),∀x1 (Counselor(x1) → (ProvidesGuidance(x1) ∧ ProvidesSupport(x1))),success,2026-03-26T04:52:18.476810+00:00
319,A film that combines captivating visuals and an emotionally engaging storyline can achieve critical acclaim.,∀x ∀y (Film(x) ∧ CaptivatingVisuals(x) ∧ EmotionallyEngagingStoryline(x) → CanAchieveCriticalAcclaim(y)),∀x ∀y (Film(x) ∧ CaptivatingVisuals(x) ∧ EmotionallyEngagingStoryline(x) → CanAchieveCriticalAcclaim(y)),success,2026-03-26T04:52:19.189440+00:00
320,"An appliance can be small or large, designed for the kitchen or laundry room, and powered by electricity, gas, or batteries.",∀x (Appliance(x) → ((Small(x) ⊕ Large(x)) ∧ (KitchenAppliance(x) ⊕ LaundryAppliance(x)) ∧ (Electric(x) ∨ Gas(x) ∨ BatteryPowered(x)))),∀x (Appliance(x) → ((Small(x) ⊕ Large(x)) ∧ (KitchenAppliance(x) ⊕ LaundryAppliance(x)) ∧ (Electric(x) ∨ Gas(x) ∨ BatteryPowered(x)))),success,2026-03-26T04:52:19.925865+00:00
321,"If a person is a meteorologist, they study weather patterns and phenomena.",∀x (Meteorologist(x) → (StudiesWeatherPatterns(x) ∧ StudiesWeatherPhenomena(x))),∀x1 (Meteorologist(x1) → (StudiesWeatherPatterns(x1) ∧ StudiesWeatherPhenomena(x1))),success,2026-03-26T04:52:20.715628+00:00
322,A keyboard is used to input text.,∀x (Keyboard(x) → UsedToInputText(x)),∃x (Keyboard(x) → UsedToInputText(x)),success,2026-03-26T04:52:21.438474+00:00
323,"A watch uses gears to keep time, while a digital clock uses a crystal oscillator.",∀x ∀y (Watch(x) ∧ DigitalClock(y) → (UsesGears(x) ∧ UsesCrystalOscillator(y))),∀x1 ∀y1 (Watch(x1) ∧ DigitalClock(y1) → (UsesGears(x1) ∧ UsesCrystalOscillator(y1))),success,2026-03-26T04:52:22.151311+00:00
324,"A beverage is classified as a cocktail if it contains alcohol, is a mixture of different ingredients, and is typically served at social events or in bars.","∀x (Beverage(x) ∧ ContainsAlcohol(x) ∧ MixtureOfIngredients(x) ∧ TypicallyServedAt(x, socialEvents, bars) → Cocktail(x))","∀x (Beverage(x) ∧ ContainsAlcohol(x) ∧ MixtureOfIngredients(x) ∧ TypicallyServedAt(x, socialEvents, bars) → Cocktail(x))",success,2026-03-26T04:52:22.876185+00:00
325,"If a person catches a cold, they might have a fever or a runny nose.",∀x (Person(x) ∧ CatchesCold(x) → (HasFever(x) ∨ HasRunnyNose(x))),∀x (Person(x) ∧ CatchesCold(x) → (HasFever(x) ∨ HasRunnyNose(x))),success,2026-03-26T04:52:23.574466+00:00
326,A type of clothing can be either formal or casual.,∀x (ClothingType(x) → Formal(x) ⊕ Casual(x)),∀x (ClothingType(x) → Formal(x) ⊕ Casual(x)),success,2026-03-26T04:52:24.308606+00:00
327,"A fashion choice is stylish if it is trendy, comfortable, and either colorful or has interesting patterns.",∀x (FashionChoice(x) ∧ Trendy(x) ∧ Comfortable(x) → (Colorful(x) ∨ InterestingPatterns(x)) ∧ Stylish(x)),∀x (FashionChoice(x) ∧ Trendy(x) ∧ Comfortable(x) → (Colorful(x) ∨ InterestingPatterns(x)) ∧ Stylish(x)),success,2026-03-26T04:52:25.132762+00:00
328,"A book contains pages with text and illustrations that convey information, stories, or ideas.",∀x (Book(x) ↔ (ContainsPages(x) ∧ WithTextAndIllustrations(x) ∧ ConveysInformationStoriesOrIdeas(x))),∀x (Book(x) ↔ (ContainsPages(x) ∧ WithTextAndIllustrations(x) ∧ ConveysInformationStoriesOrIdeas(x))),success,2026-03-26T04:52:25.835946+00:00
329,"An energy-efficient building uses renewable energy sources and sustainable materials, reducing its environmental impact.",∀x (EnergyEfficientBuilding(x) → (UsesRenewableEnergySources(x) ∧ SustainableMaterials(x) ∧ ReducesEnvironmentalImpact(x))),∀x1 (EnergyEfficientBuilding(x1) → (UsesRenewableEnergySources(x1) ∧ SustainableMaterials(x1) ∧ ReducesEnvironmentalImpact(x1))),success,2026-03-26T04:52:26.581163+00:00
330,"A carnivore is an organism that primarily feeds on other animals, an herbivore is an organism that primarily feeds on plants, and an omnivore is an organism that feeds on both animals and plants.",∀x∀y∀z (Carnivore(x) ∧ Herbivore(y) ∧ Omnivore(z) → (FeedsOnAnimals(x) ∧ FeedsOnPlants(y) ∧ FeedsOnAnimalsAndPlants(z))),∀x1∀x2∀x3 (Carnivore(x1) ∧ Herbivore(x2) ∧ Omnivore(x3) → (FeedsOnAnimals(x1) ∧ FeedsOnPlants(x2) ∧ FeedsOnAnimalsAndPlants(x3))),success,2026-03-26T04:52:27.467967+00:00
331,A dessert is delicious if it has a pleasant taste and an appealing texture.,∀x (Dessert(x) ∧ PleasantTaste(x) ∧ AppealingTexture(x) → Delicious(x)),∀x (Dessert(x) ∧ PleasantTaste(x) ∧ AppealingTexture(x) → Delicious(x)),success,2026-03-26T04:52:28.140711+00:00
332,"A fish swims in water, while a bird flies in the air.",∀x∀y (Fish(x) ∧ Bird(y) → (SwimsInWater(x) ∧ FliesInAir(y))),∀x∀y (Fish(x) ∧ Bird(y) → (SwimsInWater(x) ∧ FliesInAir(y))),success,2026-03-26T04:52:29.015587+00:00
333,"A circle has no corners, a triangle has three corners, and a square has four corners.",∀x∀y∀z (Circle(x) ∧ Triangle(y) ∧ Square(z) → (HasNoCorners(x) ∧ HasThreeCorners(y) ∧ HasFourCorners(z))),∀x1∀y1∀z1 (Circle(x1) ∧ Triangle(y1) ∧ Square(z1) → (HasNoCorners(x1) ∧ HasThreeCorners(y1) ∧ HasFourCorners(z1))),success,2026-03-26T04:52:29.746065+00:00
334,Healthy teeth require regular brushing and flossing.,∀x (HealthyTeeth(x) → (RequiresBrushing(x) ∧ RequiresFlossing(x))),∀x1 (HealthyTeeth(x1) → (RequiresBrushing(x1) ∧ RequiresFlossing(x1))),success,2026-03-26T04:52:30.441893+00:00
335,"A medication that effectively treats symptoms, has minimal side effects, and can be administered easily is often preferred by healthcare professionals.",∀x (Medication(x) ∧ EffectivelyTreatsSymptoms(x) ∧ MinimalSideEffects(x) ∧ EasilyAdministered(x) → PreferredByHealthcareProfessionals(x)),∀x (Medication(x) ∧ EffectivelyTreatsSymptoms(x) ∧ MinimalSideEffects(x) ∧ EasilyAdministered(x) → PreferredByHealthcareProfessionals(x)),success,2026-03-26T04:52:31.169551+00:00
336,"Dogs bark, babies cry, and sirens wail.",∀x (Dog(x) → Bark(x)) ∧ ∀y (Baby(y) → Cry(y)) ∧ ∀z (Siren(z) → Wail(z)),∀x1 (Dog(x1) → Bark(x1)) ∧ ∀x2 (Baby(x2) → Cry(x2)) ∧ ∀x3 (Siren(x3) → Wail(x3)),success,2026-03-26T04:52:31.895666+00:00
337,"In a democratic country, citizens have the right to vote and the right to express their opinions freely.",∀x (DemocraticCountry(x) → (RightToVote(x) ∧ RightToExpressOpinionsFreely(x))),∀x (DemocraticCountry(x) → (RightToVote(x) ∨ RightToExpressOpinionsFreely(x))),success,2026-03-26T04:52:32.711036+00:00
338,"A product becomes a bestseller if it has innovative features, reasonable pricing, and effective marketing, but not if it has manufacturing defects or poor customer support.",∀x (Product(x) ∧ Bestseller(x) ↔ (InnovativeFeatures(x) ∧ ReasonablePricing(x) ∧ EffectiveMarketing(x) ∧ ¬(ManufacturingDefects(x) ∨ PoorCustomerSupport(x)))),∀x (Product(x) ∧ Bestseller(x) ↔ (InnovativeFeatures(x) ∧ ReasonablePricing(x) ∧ EffectiveMarketing(x) ∧ ¬ManufacturingDefects(x) ∧ ¬PoorCustomerSupport(x))),success,2026-03-26T04:52:34.233362+00:00
339,"A celestial object that orbits a star, reflects light, and is not a satellite is a planet.",∀x (CelestialObject(x) ∧ OrbitsStar(x) ∧ ReflectsLight(x) ∧ ¬Satellite(x) → Planet(x)),∀x (CelestialObject(x) ∧ OrbitsStar(x) ∧ ReflectsLight(x) ∧ ¬Satellite(x) → Planet(x)),success,2026-03-26T04:52:34.954642+00:00
340,"An island is volcanic if it was formed by volcanic activity, has a volcanic cone, and shows signs of geothermal activity.",∀x (Island(x) ∧ FormedByVolcanicActivity(x) ∧ HasVolcanicCone(x) ∧ GeothermalActivity(x) → Volcanic(x)),∀x (Island(x) ∧ FormedByVolcanicActivity(x) ∧ HasVolcanicCone(x) ∧ GeothermalActivity(x) → Volcanic(x)),success,2026-03-26T04:52:35.759060+00:00
341,"Factories manufacture goods from raw materials, employing workers to operate machinery.","∀x∀y∀z (Factory(x) ∧ RawMaterial(y) ∧ Worker(z) → (ManufacturesGoods(x, y) ∧ Employs(x, z) ∧ OperatesMachinery(z)))","∀x1∀y1∀z1 (Factory(x1) ∧ RawMaterial(y1) ∧ Worker(z1) → (ManufacturesGoods(x1, y1) ∧ Employs(x1, z1) ∧ OperatesMachinery(z1)))",success,2026-03-26T04:52:36.796863+00:00
342,Washing your hands with soap and water is effective in removing dirt and germs.,∀x (WashesHands(x) ∧ UsesSoap(x) ∧ UsesWater(x) → (RemovesDirt(x) ∧ RemovesGerms(x))),∀x (WashesHands(x) ∧ UsesSoap(x) ∧ UsesWater(x) → (RemovesDirt(x) ∧ RemovesGerms(x))),success,2026-03-26T04:52:37.508125+00:00
